trip_distance,fare_amount,winter,spring,summer,fall,pickup_datetime,dropoff_datetime,Holiday Proximity,ride_duration,Early morning,Morning,Afternoon,Night
1.7,11.5,0,1,0,0,2019-03-23 17:56:10,2019-03-23 18:13:04,0,0 days 00:16:54.000000000,0,0,1,0
0.52,4.0,0,0,0,1,2019-11-29 20:23:00,2019-11-29 20:26:30,0,0 days 00:03:30.000000000,0,0,0,0
2.99,19.0,0,0,1,0,2019-06-30 18:47:41,2019-06-30 19:16:47,0,0 days 00:29:06.000000000,0,0,0,0
10.93,33.0,0,1,0,0,2019-03-09 03:35:42,2019-03-09 04:02:34,0,0 days 00:26:52.000000000,1,0,0,0
1.2,7.0,1,0,0,0,2019-01-22 14:27:11,2019-01-22 14:35:35,0,0 days 00:08:24.000000000,0,0,1,0
4.63,21.0,0,0,0,1,2019-10-08 08:04:18,2019-10-08 08:34:28,0,0 days 00:30:10.000000000,0,1,0,0
2.1,12.0,0,1,0,0,2019-04-30 11:00:14,2019-04-30 11:17:07,0,0 days 00:16:53.000000000,0,1,0,0
1.02,5.5,1,0,0,0,2019-02-01 06:36:13,2019-02-01 06:40:21,0,0 days 00:04:08.000000000,0,1,0,0
6.4,20.0,0,0,0,1,2019-09-17 01:39:49,2019-09-17 01:58:30,0,0 days 00:18:41.000000000,1,0,0,0
6.51,23.5,0,0,0,1,2019-09-12 00:26:05,2019-09-12 00:54:41,0,0 days 00:28:36.000000000,1,0,0,0
1.12,8.5,1,0,0,0,2019-02-25 19:05:57,2019-02-25 19:17:40,0,0 days 00:11:43.000000000,0,0,0,0
4.38,19.0,0,0,1,0,2019-06-11 12:12:52,2019-06-11 12:36:06,0,0 days 00:23:14.000000000,0,0,0,0
1.2,10.0,0,1,0,0,2019-04-16 16:50:06,2019-04-16 17:04:42,0,0 days 00:14:36.000000000,0,0,1,0
2.84,12.0,0,1,0,0,2019-03-23 17:29:19,2019-03-23 17:43:34,0,0 days 00:14:15.000000000,0,0,1,0
0.84,5.5,1,0,0,0,2019-02-09 15:52:33,2019-02-09 15:57:29,0,0 days 00:04:56.000000000,0,0,1,0
1.4,6.0,0,0,1,0,2019-08-12 15:38:11,2019-08-12 15:42:03,0,0 days 00:03:52.000000000,0,0,1,0
0.77,4.5,0,1,0,0,2019-04-18 07:43:59,2019-04-18 07:47:20,0,0 days 00:03:21.000000000,0,1,0,0
2.39,14.0,0,0,0,1,2019-11-30 13:06:11,2019-11-30 13:29:32,0,0 days 00:23:21.000000000,0,0,1,0
2.4,12.5,0,1,0,0,2019-04-12 18:31:35,2019-04-12 18:47:58,0,0 days 00:16:23.000000000,0,0,0,0
5.2,19.0,0,0,0,1,2019-10-21 00:48:35,2019-10-21 01:10:02,0,0 days 00:21:27.000000000,1,0,0,0
1.67,10.5,0,1,0,0,2019-05-07 18:19:31,2019-05-07 18:34:05,0,0 days 00:14:34.000000000,0,0,0,0
1.05,7.0,1,0,0,0,2019-12-23 17:44:35,2019-12-23 17:52:36,0,0 days 00:08:01.000000000,0,0,1,0
3.3,14.5,0,0,1,0,2019-06-03 22:48:37,2019-06-03 23:04:33,0,0 days 00:15:56.000000000,0,0,0,1
0.4,3.5,0,1,0,0,2019-05-20 01:18:41,2019-05-20 01:20:20,0,0 days 00:01:39.000000000,1,0,0,0
1.89,8.0,0,0,0,1,2019-09-17 11:47:22,2019-09-17 11:54:59,0,0 days 00:07:37.000000000,0,1,0,0
0.81,5.5,0,0,1,0,2019-06-13 21:45:56,2019-06-13 21:51:29,0,0 days 00:05:33.000000000,0,0,0,0
0.69,6.5,1,0,0,0,2019-01-10 17:22:14,2019-01-10 17:29:01,0,0 days 00:06:47.000000000,0,0,1,0
5.76,23.5,0,0,0,1,2019-11-07 10:00:19,2019-11-07 10:29:09,0,0 days 00:28:50.000000000,0,1,0,0
1.46,8.0,0,0,1,0,2019-06-05 23:35:44,2019-06-05 23:44:38,0,0 days 00:08:54.000000000,0,0,0,1
5.0,21.5,0,1,0,0,2019-03-14 22:58:32,2019-03-14 23:29:04,0,0 days 00:30:32.000000000,0,0,0,1
10.1,35.0,0,0,1,0,2019-06-08 23:45:42,2019-06-09 00:23:54,0,0 days 00:38:12.000000000,0,0,0,1
1.3,7.0,0,0,1,0,2019-08-09 18:21:23,2019-08-09 18:27:42,0,0 days 00:06:19.000000000,0,0,0,0
1.01,5.5,1,0,0,0,2019-12-31 10:36:03,2019-12-31 10:40:26,1,0 days 00:04:23.000000000,0,1,0,0
0.6,6.0,0,1,0,0,2019-05-20 16:02:31,2019-05-20 16:08:40,0,0 days 00:06:09.000000000,0,0,1,0
2.46,10.0,1,0,0,0,2019-01-31 21:32:03,2019-01-31 21:41:32,0,0 days 00:09:29.000000000,0,0,0,0
0.87,8.0,1,0,0,0,2019-12-11 19:29:29,2019-12-11 19:39:41,0,0 days 00:10:12.000000000,0,0,0,0
